Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer South,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,63

Perimeter_ZN_3_wall_north_Door1
Swinging Door_con
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Opaque Door panel_con,0.0,MediumRough,None,None,None,0.9,0.7,0.7,0.475973498005059,None,None,None,557

Perimeter_ZN_3_wall_north_Door2
Swinging Door_con
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Opaque Door panel_con,0.0,MediumRough,None,None,None,0.9,0.7,0.7,0.475973498005059,None,None,None,557

